id,description
55,"Số người chết vì lũ bùn ở California tăng lên 20, cháy tàu casino ở Florida, cảnh sát bị hất văng khi chặn ôtô ở New York."
56,Chiến thuật của Anh trong trận Cambrai năm 1917 là nền tảng để quân đội Đức phát triển học thuyết Blitzkrieg trong Thế chiến II.
57,Triều Tiên hôm nay dọa sẽ hủy bỏ kế hoạch tham gia Thế vận hội Mùa đông PyeongChang 2018 sắp tới ở Hàn Quốc.
58,"Một xuồng cao tốc chở 31 người hôm nay phát nổ ngoài khơi đảo Phi Phi Le, Thái Lan, khiến 16 khách bị thương, chủ yếu đến từ Trung Quốc."
59,12.000 nắp cống với hình vẽ bắt mắt hiện diện trên các con phố khắp Nhật Bản xóa tan quan niệm mất vệ sinh về hệ thống cống rãnh.
60,"Triều Tiên lên án Mỹ cản trở quá trình phá băng quan hệ Hàn-Triều, sau khi Washington tuyên bố tối đa hóa áp lực lên Bình Nhưỡng."
61,Sarah Alkashgari làm nên lịch sử khi không chỉ tham dự mà còn hỗ trợ công tác tổ chức tại một trận bóng đá ở Arab Saudi.
62,"Với trung đoàn tên lửa S-400 thứ hai đi vào hoạt động, Crimea đã được bảo vệ hoàn toàn trước các mối đe dọa đường không."
63,"Tổng thống Trump nhấn mạnh ""không phân biệt chủng tộc"" sau khi ông bị tố cáo gọi các quốc gia châu Phi, Haiti, El Salvador là ""thối nát""."
64,Madeline quyết định tổ chức một cuộc tuần hành ở New Zealand để bảo vệ quyền khỏa thân nơi công cộng mà không lo bị quấy rối tình dục.
65,Một sinh viên Trung Quốc định đưa một con chó con lên máy bay bằng cách giấu nó trong bụng bầu giả.
66,"Một chiếc xe lao vào tầng hai tòa nhà văn phòng ở quận Cam, California, khiến hai người bị thương."
67,Vận động viên Triều Tiên có thể đến Hàn Quốc qua Khu phi quân sự và không ở trong làng Olympic như vận động viên các nước khác.
68,"Trong một năm tại vị, Trump đã làm tình hình bán đảo Triều Tiên và Trung Đông thêm căng thẳng và vướng vào rắc rối với cựu phụ tá."
69,"10 tuổi bị bọn buôn người bắt cóc ở Hà Nội mang sang Anh, cậu bé trải qua 5 năm cay đắng trong các trang trại cần sa xứ người."
70,"Viên kim cương nặng 910 carat và có giá trị khoảng 40 triệu USD, là viên kim cương lớn thứ 5 từng được tìm thấy trong lịch sử."
71,"Tổng thống Mỹ hôm nay phản bác lại các bài báo đưa tin rằng ông đã nói mình ""có quan hệ tốt"" với nhà lãnh đạo Triều Tiên."
72,Công chúa Charlotte được cho là có thể nói cả tiếng Anh và tiếng Tây Ban Nha nhờ học từ người trông trẻ.
73,Một máy bay chở khách của hãng hàng không Thổ Nhĩ Kỳ hôm 13/1 trượt khỏi đường băng và suýt lao xuống biển.
74,11 người được giải cứu nhưng hai người vẫn mất tích sau khi tàu chở họ chìm ở Biển Đông hôm 12/1.
75,"Tàu chở dầu Sanchi trôi dạt tới vùng đặc quyền kinh tế Nhật sau vụ va chạm hôm 6/1 đã chìm hoàn toàn, 29 người vẫn mất tích."
76,"Cảnh báo sóng thần với một số khu vực ở Thái Bình Dương được phát đi sau trận động đất mạnh 7,3 độ ngoài khơi Peru."
77,"Tổng thống Mỹ tiếp tục chơi golf trong lúc người Hawaii hoảng loạn tìm nơi trú ẩn, sau khi được báo động giả về tên lửa đạn đạo."
78,Tổng thống Macron ủng hộ lời kêu gọi của các thợ bánh nhằm đưa bánh mì Pháp vào danh sách di sản văn hoá được UNESCO bảo vệ.
79,"Người biểu tình tuần hành ở Bern, phản đối chuyến thăm sắp tới của Tổng thống Mỹ để dự Diễn đàn Kinh tế Thế giới."
80,"Một ngọn núi lửa hoạt động ở miền trung Philippines làm tro bụi bốc lên cao 2.500 m, khiến dân làng gần đó phải sơ tán ngay lập tức."
81,"Giao thông ngưng trệ, nhiều người bỏ chạy, trú ẩn trong phòng tắm, sau khi nhận được thông báo một tên lửa đang chuẩn bị tấn công Hawaii."
82,"Văn phòng 39 được cho là cơ quan chịu trách nhiệm kiếm tiền về cho Triều Tiên, bằng cả các hình thức hợp pháp lẫn phi pháp."
83,Báo động giả về tên lửa đang tới khiến người dân Hawaii hoảng loạn tìm nơi trú ẩn được xác định do lỗi con người.
84,Trực thăng lục quân Mỹ từng đánh bại tiêm kích không quân với tỷ lệ 1:5 trong cuộc tập trận liên hợp cách đây 40 năm.
85,Người dân Hawaii bị một phen hoảng loạn khi nhận được báo động sai trên điện thoại về một tên lửa đang tới.
86,Chủ cửa hàng trực tuyến trên Taobao đã vượt quãng đường hàng trăm km tới tỉnh Hà Nam để đánh một nữ khách hàng khiếu nại mình.
87,Thứ trưởng Ngoại giao Nguyễn Quốc Dũng chỉ ra một số điều cần làm để xây dựng ASEAN tự cường và sáng tạo.
88,Con bò đi lạc vào sân bay ở Ahmedabad khiến một số chuyến bay phải đổi hướng hoặc trì hoãn.
89,Ông bố cưỡi ngựa tới đón con trai học mẫu giáo ở tỉnh Thiểm Tây thu hút sự chú ý của người qua đường.
90,Đội cứu hộ tìm được hộp đen và hai thi thể trên tàu chở dầu Sanchi của Iran đang bốc cháy ở biển Hoa Đông.
91,"Đằng sau sự náo nhiệt của khu Little Sài Gòn, nhiều Việt kiều đang ""giật gấu vá vai"" sống trong những căn phòng chật hẹp."
92,"Triều Tiên phát triển đồng thời vũ khí hạt nhân và tên lửa đạn đạo, nhằm đặt toàn bộ lãnh thổ Mỹ trong tầm bắn và tạo sức răn đe."
93,Trump nói với người đồng nhiệm Hàn Quốc Moon Jae-in rằng ông sẵn sàng đối thoại với Triều Tiên vào hoàn cảnh và thời điểm thích hợp.
94,"Thủ tướng hôm nay có các cuộc tiếp xúc song phương với những người đồng nhiệm Trung Quốc, Lào và Thái Lan khi dự hội nghị ở Campuchia."
95,Phó thủ tướng khẳng định Việt Nam coi Mỹ là một trong những đối tác quan trọng hàng đầu.
96,"Một tàu cá chở khoảng 40 học sinh bị lật ở biển Arab ngoài khơi bang Maharashtra, tây Ấn Độ."
97,Cô bé 15 tuổi là học sinh giỏi của lớp bị nam sinh cùng lớp dùng dao tấn công vì không chịu làm hộ bài tập.
98,"Sân tập gym có đủ loại dụng cụ làm từ sắt thép phế liệu, mở cửa miễn phí cho người dân ở thủ đô Kiev."
99,Nghệ sĩ biểu diễn đường phố có biệt danh Cao bồi khỏa thân ca ngợi Trump khi hát tại Mexico.
100,Triều Tiên tuần sau bàn với Hàn Quốc về kế hoạch gửi một đoàn biểu diễn nghệ thuật đến Thế vận hội mùa đông Pyeongchang.
101,Vận động viên Triều Tiên có thể đến Hàn Quốc qua Khu phi quân sự và không ở trong làng Olympic như vận động viên các nước khác.
102,"Trong một năm tại vị, Trump đã làm tình hình bán đảo Triều Tiên và Trung Đông thêm căng thẳng và vướng vào rắc rối với cựu phụ tá."
103,"10 tuổi bị bọn buôn người bắt cóc ở Hà Nội mang sang Anh, cậu bé trải qua 5 năm cay đắng trong các trang trại cần sa xứ người."
104,"Viên kim cương nặng 910 carat và có giá trị khoảng 40 triệu USD, là viên kim cương lớn thứ 5 từng được tìm thấy trong lịch sử."
105,Mã Hiểu Hồng bị cáo buộc sử dụng đế chế kinh doanh của mình để giúp Triều Tiên lách các lệnh trừng phạt.
106,"Một kẻ sát nhân hàng loạt ở Nga, được truyền thông ví là ""ma sói"", ra tòa sau khi thừa nhận giết 59 người trong giai đoạn 1992-2010."
107,Tàu đổ bộ Yamal chịu thiệt hại khi bị một tàu chở hàng đâm trên biển Aegea hôm 31/12.
108,Thủ tướng Nguyễn Xuân Phúc hôm nay nhấn mạnh ba nội dung về hợp tác Mekong - Lan Thương trong 5 năm tới.
109,Thủ tướng Nguyễn Xuân Phúc và lãnh đạo Campuchia nhất trí phối hợp giải quyết vấn đề địa vị pháp lý cho người Campuchia gốc Việt.
110,Sách kể chuyện quân Đồng Minh đánh bom Đức trong Thế chiến II có doanh số bán tăng đột biến nhờ giống tên tác phẩm mới về Tổng thống Trump.
111,"Nga tuyên bố các UAV tấn công căn cứ Hmeymim và Tartus xuất phát từ tỉnh Idlib, nơi nằm dưới sự kiểm soát của phiến quân ôn hòa được Thổ"
112,"Trung Quốc phản đối sau khi một bộ trưởng Australia mô tả các dự án của Bắc Kinh ở Thái Bình Dương là ""voi trắng"", hàm ý không hiệu quả."
113,Cậu bé đang nổi tiếng khắp mạng xã hội Trung Quốc giải thích vì vội đến trường nên quên mặc áo và che ô khiến tóc đông đá.
114,Malaysia chấp nhận chi đến 70 triệu USD cho một công ty khảo sát đáy biển Mỹ nếu tìm thấy MH370 trong vùng tìm kiếm mới ở Ấn Dộ Dương.
115,"Khoảng 5.000 người Nhật Bản hôm nay chạy đua đến điện thờ chính của đền Nishinomiya để giành danh hiệu ""Người May mắn của năm""."
116,Philippines sẽ gửi công hàm phản đối Trung Quốc tiến hành quân sự hóa các đảo nhân tạo trên Biển Đông.
117,"Nhà chức trách Singapore đang xem xét các cáo buộc với 11 người đánh cắp dầu của hãng Shell, trong đó có hai người Việt Nam."
118,Câu hỏi liệu tổng thống có nên được yêu cầu bắt buộc trải qua kiểm tra sức khỏe tâm thần không đang gây bàn tán sôi nổi ở Mỹ.
119,"Truyền thông Trung Quốc công bố hình ảnh phóng thử tên lửa, nhiều khả năng là tên lửa đạn đạo DF-16 có tầm bắn tối đa 1000 km."
120,Giới chức Ấn Độ bắt quả tang một nữ tiếp viên hàng không vận chuyển trái phép gần nửa triệu USD ra nước ngoài để mua vàng.
121,Những toa tàu điện ngầm có hệ thống sưởi hoạt động cả đêm trở thành nơi tránh rét của người vô gia cư ở thành phố New York.
122,"Mỹ huấn luyện thêm hàng nghìn lính có kỹ năng chiến đấu dưới hầm ngầm, nhằm chuẩn bị sẵn sàng cho phương án quân sự chống lại Triều Tiên."
123,Đập thủy điện Trung Quốc ở thượng nguồn làm biến đổi dòng chảy Mekong và ảnh hưởng tới sinh kế của hàng chục triệu người ở hạ nguồn.
124,Sự chuyên nghiệp và trang bị hiện đại của nhóm phiến quân làm dấy lên nhiều giả thuyết về hành tung thực sự của những kẻ tấn công.
125,Mái tóc đông đá trắng xóa của cậu bé nghèo ở tỉnh Vân Nam sau khi vượt 5 km đến trường được chia sẻ khắp mạng xã hội Trung Quốc.
126,Một thẩm phán ở San Francisco ra phán quyết ngăn Tổng thống Trump chấm dứt chương trình bảo vệ người nhập cư đến Mỹ trái phép khi còn nhỏ.
127,"Với những bà bầu Nga, sức hút của thành phố biển đầy nắng Miami đến từ quyền công dân Mỹ."
128,Janet Airline được mệnh danh là hãng hàng không bí ẩn nhất của Mỹ bởi nơi nó xuất phát có thể được biết nhưng đích đến thì không rõ.
129,Nhóm nhạc nữ Nhật Bản muốn giới thiệu tới công chúng thông tin về Bitcoin và những đồng tiền ảo khác.
130,Các chuyên gia Nga lo ngại khả năng phiến quân sử dụng xuồng chứa thuốc nổ để tấn công cơ sở hậu cần hải quân tại cảng Tartus ở Syria.
131,"Bờ biển ở bang Maine, Mỹ bị đông cứng do thời tiết giá lạnh đã trở thành sân trượt băng cho một thiếu niên."
132,"Một thanh niên Venezuela bị bắn chết khi cùng hàng trăm người xông vào hôi của từ đoàn xe chở bột mỳ, gà đi qua miền tây nước này."
133,"Ông Trump điều hành cuộc họp về nhập cư như một ngôi sao truyền hình thực tế, nhằm dập tắt hoài nghi về năng lực lãnh đạo của mình."
134,Một bé gái Mỹ viết thư gửi Tổng thống Trump và bày tỏ cảm thông về sự thù ghét của mọi người đối với ông.
135,Triều Tiên dự kiến cử phái đoàn gồm 400 - 500 người tới Hàn Quốc dự Thế vận hội Mùa đông vào tháng tới.
136,Thủ lĩnh tối cao IS Baghdadi có thể đang ẩn náu tại khu vực hoang vu ở châu Phi nhằm mở rộng hoạt động sang châu lục này.
137,BBC phỏng vấn người dân ở 7 thành phố trên thế giới về Tổng thống Mỹ Donald Trump một năm sau khi nhậm chức.
138,"Chỉ trong 4 ngày đầu năm, nhờ giá cổ phiếu tăng mà bà Dương Huệ Nghiên thu về thêm 2,1 tỷ USD."
139,"Tặng ngựa quý và tỏ thái độ ủng hộ với Trung Quốc, Tổng thống Pháp dường như đang muốn tung đòn quyến rũ Bắc Kinh ngả về phía mình."
140,"Triều Tiên hôm nay kêu gọi Hàn Quốc dừng tập trận với Mỹ, gọi đây là nguồn cơn dẫn đến căng thẳng trên bán đảo."
141,Một anh lính cứu hỏa Thụy Điển phóng xe máy ra đường vào giờ cao điểm giữa trời lạnh trong tình trạng không mảnh vải che thân.
142,"Chiến hạm Damavand của hải quân bị sóng đẩy vào gần bờ, gây thương vong cho thủy thủ đoàn."
143,"Xì gà Cuba, tượng dát vàng và trang sức xa xỉ nằm trong số những món quà mà cựu tổng thống Obama được chính quyền nước ngoài gửi tặng."
144,Đô vật Mỹ làm hỏng chốt cửa khiến tiếp viên máy bay phải dùng tuốc nơ vít mở.
145,Mỹ vừa đổi tên đường phía trước đại sứ quán Nga ở Washington DC theo tên của chính trị gia đối lập Boris Nemtsov bị sát hại hồi 2015.
146,Biểu tình nổ ra khi cảnh sát Pakistan bị tố hành động chậm chạp trong vụ bé gái 8 tuổi bị sát hại và vứt xác ở bãi rác.
147,Pháo binh Syria nã hàng trăm quả rocket để dọn đường cho bộ binh tấn công mục tiêu phiến quân ở thủ đô Damascus.
148,"Brian Hawkins thừa nhận là hung thủ vụ án năm 1993 trong một cuộc phỏng vấn, tuyên bố đức tin Chúa buộc mình phải nói ra sự thật."
149,"Nữ nha sĩ nóng bỏng nhất Hàn Quốc có thân hình gợi cảm, thường được mời chụp hình quảng cáo và hay bị nhầm với con gái 17 tuổi."
150,Hàn Quốc nhận định tàu chở dầu Sanchi của Iran có thể bốc cháy trên biển Hoa Đông một tháng sau khi va chạm với tàu chở hàng Hong Kong.
151,"Cố vấn của Ngoại trưởng Mỹ Tillerson lên án các hành động quân sự của Trung Quốc ở Biển Đông, khẳng định Washington kiên quyết bảo vệ luật quốc tế."
152,Hệ thống gây nhiễu Krasukha-4 và tổ hợp Pansir-S1 Nga có thể bảo vệ căn cứ ở Syria trước mối đe dọa từ UAV mang thuốc nổ.
153,Đường dây nóng quân sự liên Triều hoạt động bình thường trong cuộc liên lạc thử nghiệm đầu tiên sau hơn hai năm gián đoạn.
154,Vận động viên Triều Tiên có thể đến Hàn Quốc qua Khu phi quân sự và không ở trong làng Olympic như vận động viên các nước khác.
155,"Trong một năm tại vị, Trump đã làm tình hình bán đảo Triều Tiên và Trung Đông thêm căng thẳng và vướng vào rắc rối với cựu phụ tá."
156,"10 tuổi bị bọn buôn người bắt cóc ở Hà Nội mang sang Anh, cậu bé trải qua 5 năm cay đắng trong các trang trại cần sa xứ người."
157,"Viên kim cương nặng 910 carat và có giá trị khoảng 40 triệu USD, là viên kim cương lớn thứ 5 từng được tìm thấy trong lịch sử."
158,"Sân bay quốc tế chính ở Warsaw, Ba Lan phải đóng cửa 4 giờ sau khi một máy bay hạ cánh khẩn xuống đường băng bằng bụng."
159,"Thổ Nhĩ Kỳ triệu tập đại biện Mỹ để phản đối Washington huấn luyện cho dân quân người Kurd ở Syria, lực lượng bị Ankara coi là khủng bố."
160,"Căn cứ ở khu vực biên giới sẽ do Trung Quốc đầu tư xây dựng, nhưng được vận hành bởi các binh sĩ quân đội Afghanistan."
161,"Một người đàn ông, được cho là say rượu, ngày 10/1 ăn cắp một chiếc xe thiết giáp và gây tai nạn liên tiếp trên đường phố Nga."
162,Những kẻ cầm rìu đã cướp số trang sức hơn 5 triệu USD từ một cửa hàng trong khách sạn sang trọng Ritz Paris.
163,"Tổng thống Trump cho biết ""ít khả năng"" ông sẽ để công tố viên đặc biệt Mueller thẩm vấn về nghi án Nga can thiệp bầu cử Mỹ."
164,Vận động viên Triều Tiên có thể đến Hàn Quốc qua Khu phi quân sự và không ở trong làng Olympic như vận động viên các nước khác.
165,"Trong một năm tại vị, Trump đã làm tình hình bán đảo Triều Tiên và Trung Đông thêm căng thẳng và vướng vào rắc rối với cựu phụ tá."
166,"10 tuổi bị bọn buôn người bắt cóc ở Hà Nội mang sang Anh, cậu bé trải qua 5 năm cay đắng trong các trang trại cần sa xứ người."
167,"Viên kim cương nặng 910 carat và có giá trị khoảng 40 triệu USD, là viên kim cương lớn thứ 5 từng được tìm thấy trong lịch sử."
168,Trump bác tin từng chuyển 130.000 USD cho sao khiêu dâm để giữ bí mật việc ông ngoại tình với cô này năm 2006.
169,Một trong những chiếc máy bay thường được Thủ tướng Nhật sử dụng khi công du nước ngoài bị rơi tấm kim loại ở cánh.
170,"Tổng thống Donald Trump lảng tránh trả lời cánh phóng viên về thông tin cho rằng ông đã miệt thị các quốc gia châu Phi và Haiti là ""dơ dáy""."
171,"Với nhiều người dân Bắc Kinh, chuyện thủ đô Trung Quốc đang trải qua những ngày đông quang đãng vừa đáng mừng lại cũng đáng lo."
172,Mẹ của một thanh niên gốc Việt đã không thể có mặt tại đám tang con trai do hai lần bị từ chối thị thực vào Mỹ.
173,Cậu bé Trung Quốc tóc đóng băng khi vượt 5 km đến trường hiện sống cùng bà và chị gái trong một ngôi nhà đất cũ.
174,Một thanh niên 20 tuổi trở thành người chiến thắng duy nhất của giải độc đắc Mega Millions lên tới 451 triệu USD.
175,Cựu ngoại trưởng Mỹ cho rằng nước này cuối cùng sẽ quay lại TPP và hy vọng sẽ tham gia sáng kiến Vành đai và Con đường của Trung Quốc.
176,"Pháo binh Syria nã hàng chục rocket tự chế, dọn đường cho bộ binh tấn công mục tiêu phiến quân ở Đông Ghouta."
177,"Hàng loạt quốc gia, tổ chức chỉ trích Mỹ ""phân biệt chủng tộc"", sau khi Tổng thống Trump mô tả các nước ở châu Phi và Haiti là ""thối nát""."
178,Quân đội Nga sử dụng đạn pháo thông minh chính xác cao Krasnopol để tiêu diệt nhóm phiến quân nã cối vào căn cứ không quân Hmeymim.
179,"Tên lửa hành trình đang được Ukraine phát triển có vận tốc lên đến 1.700 m/s nhờ sử dụng nhiên liệu rắn, đạt tầm bắn 1.750 km."
180,"Anh cho rằng lo ngại biểu tình đã khiến Tổng thống Mỹ Trump hủy thăm London, đồng thời cảnh báo chỉ trích Washington sẽ ảnh hưởng quan hệ song phương."
181,Phụ nữ ở quốc gia Hồi giáo siêu bảo thủ Arab Saudi vừa lần đầu được phép vào sân bóng đá.
182,Các tiêm kích đa năng hiện đại J-16 được Bắc Kinh biên chế nhanh gấp nhiều lần phi đội máy bay tàng hình J-20.
183,"Một nắp két xăng máy bay rơi trúng xe ôtô đang di chuyển ở Mỹ, làm nắp capo rách toác, nhưng không có người bị thương."
184,Một binh sĩ Nga bị kết án 6 tháng tù vì làm cháy xe thiết giáp BTR-82 khi nhóm lửa đun nóng suất ăn.
185,"Một số người chấp nhận đóng cửa, số khác vẫn kiên trì với công việc khi lệnh cấm doanh nghiệp Triều Tiên ở Trung Quốc có hiệu lực."
186,Cựu tổng thống Obama chia sẻ từng chật vật lắp một cây đèn bàn ngày đưa con gái lớn vào nhập học ở trường Harvard.
187,Đã được đánh thức một lần nhưng bé gái 3 tuổi lại tiếp tục nằm ngủ ngon lành lần nữa trong tiếng nhạc ồn ào.
188,"Mỹ, Canada đang tổ chức họp về tình hình Triều Tiên với 18 nước trong khi Nga và Trung Quốc không được mời dự, chỉ nhận kết quả."
189,Hơn 1.000 thanh thiếu niên Đan Mạch vừa bị cảnh sát buộc tội sau khi phát tán các video quay cảnh quan hệ tình dục.
190,Sự hiện diện của các máy bay ném bom chiến lược B-2 tại Guam sẽ giúp quân đội Mỹ tăng cường sức mạnh ở châu Á - Thái Bình Dương.
191,Một thành viên hội đồng lập hiến gây tranh cãi của Venezuela bị hai người lái xe phân khối lớn bắn chết.
192,Ông Trump bị tố cáo dùng từ miệt thị khi chất vấn các nghị sĩ về việc cho phép công dân một số nước châu Phi nhập cư vào Mỹ.
193,"Rũ bỏ bộ quân phục của lính thủy đánh bộ Mỹ, Shannon Ihrke trở thành người mẫu bikini ""đốt cháy"" mạng xã hội."
